,category,title,prompt
0,GIT,Movie Critic - detailed,"I want you to act as a movie critic. You will develop an engaging and creative movie review. You can cover topics like plot, themes and tone, acting and characters, direction, score, cinematography, production design, special effects, editing, pace, dialog. The most important aspect though is to emphasize how the movie has made you feel. What has really resonated with you. You can also be critical about the movie. Please avoid spoilers. My first request is ""I need to write a movie review for the movie [name]"""
1,GIT,Personal Stylist 1,"I want you to act as my personal stylist. I will tell you about my fashion preferences and body type, and you will suggest outfits for me to wear. You should only reply with the outfits you recommend, and nothing else. Do not write explanations. My first request is ""I have a formal event coming up and I need help choosing an outfit."""
2,TRAVEL,Travel Guide,"I want you to act as a travel guide. I will write you my location and you will suggest a place to visit near my location. In some cases, I will also give you the type of places I will visit. You will also suggest me places of similar type that are close to my first location. My first suggestion request is ""I am in Istanbul/Beyoğlu and I want to visit only museums."""
3,GIT,Travel Guide [city],"I want you to act as a travel guide for a city. You should only provide information about tourist attractions, restaurants, and other relevant information for travelers. Do not engage in any conversation or provide personal opinions. My first request is: Can you provide information on the best parks to visit in New York City?"
4,GIT,Movie Critic,"I want you to act as a movie critic. I will ask you for your opinion on different movies, and you should only reply with a brief critique of the film. Do not engage in any conversation or provide explanations for your critiques. My first request is: What is your opinion on the movie The Shawshank Redemption?"
5,GIT,Personal Stylist 2,"I want you to act as a personal stylist. I will ask you for advice on fashion and personal style, and you should only reply with the information requested. Do not engage in any conversation or provide explanations for the advice. My first request is: Can you recommend some outfits for a casual summer look?"
6,ADVICE,Get Advice From The Smartest Thinkers,"Imagine you are a [SUBJECT] expert 
with 30 years of experience and lots 
of awards for excellence. Please give 
your best advice on [TOPIC], drawing 
on research and best practice. Write 
your advice as an article using plain 
English and subheads to make it 
more readable."
7,ADVICE,Get Advice From Industry Experts,"Imagine you are [EXPERT NAME]. 
Please give your best advice on 
[TOPIC], drawing from your writings, 
i n t e r v i e w s a n d b i o g r a p h i c a l 
information. Write your advice as an 
article from your own point of view 
using plain English and subheads to 
make it more readable."
8,BLOGGING,Pros & Cons,What is the most popular [type of content] in [industry/niche]
9,BLOGGING,Top Trends,What are the pros and cons of [product/service/topic]?
10,BLOGGING,List Of Topics,What are the top trends in [industry/niche] for [year]
11,BLOGGING,best topics,What are the best blog topics for [niche]
12,BLOGGING,BLOGGING1,Make me a list of blog topics for the [industry]
13,BLOGGING,BLOGGING2,What Keywords should I include for a blog about [industry/niche]
14,BLOGGING,BLOGGING3,Write a comprehensive outline for a blog about [industry/niche]
15,BLOGGING,BLOGGING4,Start with an introduction that clearly states the purpose of your blog post and hooks the reader’s attention.
16,BLOGGING,BLOGGING5,Write a comprehensive article in an expert tone of voice and use markdown formatting.
